Condition	Model	Region Code	Seller rating	Seller rating count	Duration	Number of pictures	Length of description	End Weekday	Start Weekday	End Hour	Handling time	Global shipping	Shipping Locations	Shipping Type	Return accepted	Price
1.0	0.285714285714	0.333333333333	1.0	0.166666666667	0.666666666667	0.0	0.00105	1.0	1.0	0.0	0.0	0.0	0.00803212851406	0.714285714286	1.0	380.65
0.0	0.571428571429	1.0	0.995	0.5	0.666666666667	0.444444444444	0.00397	0.5	0.5	0.0869565217391	0.1	0.0	0.00401606425703	0.714285714286	1.0	58.0
0.2	0.285714285714	0.333333333333	0.952	0.0833333333333	0.666666666667	0.333333333333	0.00138	0.833333333333	0.833333333333	0.695652173913	0.15	0.0	1.0	0.714285714286	1.0	380.0
0.2	0.142857142857	1.0	0.994	0.25	0.444444444444	0.111111111111	0.00109	0.666666666667	1.0	1.0	0.05	0.0	0.00401606425703	1.0	1.0	115.0
0.0	0.571428571429	1.0	0.991	0.5	0.666666666667	0.555555555556	0.000182	1.0	1.0	0.0869565217391	0.05	0.0	0.00401606425703	1.0	1.0	61.0
0.2	0.571428571429	1.0	0.994	0.916666666667	0.222222222222	0.0	0.008632	0.166666666667	0.833333333333	0.173913043478	0.05	0.0	0.00401606425703	0.714285714286	1.0	130.25
0.2	0.428571428571	1.0	1.0	0.166666666667	0.222222222222	0.555555555556	0.003024	0.5	0.0	1.0	0.15	1.0	0.160642570281	1.0	0.0	200.08
0.0	0.857142857143	1.0	1.0	0.25	0.666666666667	0.0	0.000272	0.5	0.5	0.130434782609	0.1	0.0	0.00401606425703	0.714285714286	0.0	15.5
0.2	0.571428571429	1.0	0.994	0.916666666667	0.0	0.0	0.008632	0.166666666667	0.0	0.130434782609	0.05	0.0	0.00401606425703	0.714285714286	1.0	112.5
0.2	0.571428571429	1.0	1.0	0.416666666667	0.0	0.222222222222	0.001128	0.5	0.333333333333	0.652173913043	0.05	1.0	0.132530120482	1.0	1.0	170.0
0.0	0.571428571429	1.0	1.0	0.25	0.444444444444	0.111111111111	0.000106	0.0	0.333333333333	0.565217391304	0.1	0.0	0.00401606425703	0.714285714286	1.0	105.0
0.0	0.285714285714	0.333333333333	0.993	0.416666666667	0.444444444444	0.333333333333	0.004192	1.0	0.166666666667	0.695652173913	0.05	0.0	0.00401606425703	1.0	1.0	265.0
0.0	0.285714285714	0.333333333333	0.993	0.416666666667	0.222222222222	0.333333333333	0.004292	0.0	0.666666666667	0.782608695652	0.05	0.0	0.00401606425703	1.0	1.0	285.0
0.0	0.428571428571	1.0	0.997	0.416666666667	0.666666666667	0.222222222222	0.007996	0.166666666667	0.166666666667	0.739130434783	0.05	0.0	0.00401606425703	0.714285714286	0.0	100.1
0.2	0.571428571429	1.0	0.997	0.833333333333	0.666666666667	0.777777777778	0.010348	0.0	0.0	0.739130434783	0.05	1.0	0.0160642570281	1.0	1.0	120.0
0.0	0.857142857143	1.0	0.99	0.833333333333	0.222222222222	0.0	0.015434	1.0	0.5	0.869565217391	0.15	0.0	0.00401606425703	0.428571428571	1.0	21.0
0.2	0.285714285714	0.333333333333	0.994	0.416666666667	0.666666666667	0.0	0.000624	0.166666666667	0.166666666667	0.0	0.05	1.0	1.0	1.0	1.0	395.0
0.0	0.428571428571	1.0	1.0	0.25	0.222222222222	0.0	0.000338	1.0	0.5	0.913043478261	0.1	1.0	0.160642570281	1.0	0.0	31.02
0.2	0.571428571429	1.0	0.997	0.583333333333	0.222222222222	0.888888888889	0.00123	0.833333333333	0.333333333333	0.565217391304	0.05	0.0	0.00401606425703	0.714285714286	1.0	147.5
0.2	0.857142857143	1.0	0.0	0.0	0.666666666667	0.777777777778	8.2e-05	0.666666666667	0.666666666667	0.652173913043	0.15	0.0	0.00401606425703	0.714285714286	0.0	51.0
0.2	0.571428571429	1.0	1.0	0.416666666667	0.666666666667	0.777777777778	0.000794	0.666666666667	0.666666666667	0.0869565217391	0.05	0.0	0.00401606425703	0.714285714286	1.0	127.5
